datetime,portfolio_value,cash,positions,return
2022-10-05 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-06 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-07 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-08 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-08 09:29:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-10 08:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-10 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-10 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-11 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-12 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-13 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-14 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-15 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-15 09:29:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-17 08:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-17 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-17 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-18 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-19 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-20 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-21 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-22 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-22 09:29:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-24 08:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-24 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-24 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
